Name,Kurzname,Beschreibung,Farbe,Grad,FirstFound,FirstAscent,Lat,Lon
Orangerie Bogen,orange_bogen,"A) Traverse, ohne Löwenköpfe zu nutzen",4,,Matthias,David,52.40438,13.02931
,,"B) Am Bogen entlang und oben austoppen. Achtung, nur mit Seilsicherung und vorher Moss und Staub von der oberen Sloper-Kante putzen!",5,,Samuel,Samuel,,
Hegelallee Felsen,hegel_felsen,A) Siehe Link,?,,,,52.40262,13.05313
Lokremise Säulen,lokremise_saeulen,A) Geländer – kurze Seite – Geländer,3,,Niels,Niels,52.39085,13.06254
,,B) Geländer – lange Seite – schräges Geländer – Geländer,4,,Niels,David,,
,,C) Geländer – schräges Geländer – lange Seite – Geländer,5,,Niels,,,
,,D) Geländer – lange Seite – Geländer,6,,Niels,Niels,,
Lokremise Wand,lokremise_wand,A) Von unten hoch,3,,,,52.39103,13.06256
,,B) Von oben runter,4,,,,,
,,C) Von oben runter mit Zusatzregel: Alle Tritte müssen zuerst mit der Hand angetippt werden,5,,Niels,,,
Gerhard-Hauptmann-Grundschule Ecke,grundschule_ecke,A) Auf Kniehöhe um die Ecke rum,3,,Niels,,52.39426,13.03373
,,B) Von der Treppe über das Fenstersims nach oben,4,,Niels,,,
,,C) Senkrecht nach oben,5,,Niels,Niels,,
,,D) Die Ecke links hoch zum Fenstersims und dann nach oben,6,,Niels,,,
